,features,coefs,mae
49,"('yr', 'mnth', 'holiday', 'workingday', 'atemp', 'leaflets', 'weekday_1', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1011.53905974  -28.82023378  -71.0214871   132.9526122   919.34414129
   12.44816262  -60.45288493   37.01578988   93.06327801 -434.13860344
  243.53859141 1235.31953434  902.79771299]",623.2219215326099
50,"('yr', 'mnth', 'holiday', 'workingday', 'atemp', 'leaflets', 'price reduction', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1011.54912489  -27.11272572  -72.38722465  123.70197748  919.34661934
    7.18054194   51.83518924  -53.29386068   21.21374868   46.32292527
   95.81674975 -434.26189888  241.97895229 1234.51089016  900.53277976]",623.2313459653224
51,"('yr', 'workingday', 'atemp', 'leaflets', 'price reduction', 'weekday_1', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1010.36383234  169.7024264   910.87603081   10.72825605   55.0759961
  -83.29109989   31.91286992  117.62856713 -434.13223218  221.86022709
 1243.32072493  907.38317783]",623.2359822157969
52,"('yr', 'mnth', 'workingday', 'atemp', 'price reduction', 'weekday_1', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1009.04657405  -30.51283549  178.18357366  916.58454241   54.21226716
  -90.02476293  116.88570119 -439.9322813   240.21718162 1246.96917174
  912.53273778]",623.2800494959232
53,"('yr', 'mnth', 'workingday', 'atemp', 'leaflets', 'price reduction', 'weekday_1', 'weekday_4', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1010.0661744   -29.84560675  178.46047647  915.61409406   11.41606945
   53.23189681  -90.53685595   -2.56355643  116.14074852 -441.04704283
  239.92590693 1245.86786845  911.40473446]",623.3609134432925
54,"('yr', 'workingday', 'atemp', 'leaflets', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_2', 'weathersit_3')","[1009.60066704  168.9825078   909.79724832   15.32141294  -82.18832735
    7.53685663   30.84875905  116.44397983 -434.12445869  222.73112922
 -314.14583917 -424.2387198 ]",623.4560523556709
55,"('yr', 'mnth', 'workingday', 'atemp', 'leaflets', 'weekday_0', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1012.18290336  -28.62611693  351.0003915   921.26427238   10.76022213
  186.8822479    38.90816771   60.86116569  281.06961705 -430.96642717
  245.01256554 1224.33580596  891.54583152]",623.4563863126953
56,"('yr', 'mnth', 'workingday', 'atemp', 'leaflets', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_2', 'weathersit_3')","[1009.5208461   -34.1177961   150.02420899  920.39945729   13.56385333
   32.67000849   56.1181324   127.43683796 -437.00802111  246.71586095
 -314.24371393 -419.01438747]",623.4728443124867
57,"('yr', 'mnth', 'workingday', 'atemp', 'weekday_1', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1008.33530189  -34.74000324  170.31688473  920.2352664   -83.82020698
   30.86533157  116.2219607  -437.51171705  244.76144758 1236.32492487
  903.31737668]",623.4789185255577
58,"('yr', 'mnth', 'workingday', 'atemp', 'price reduction', 'weekday_1', 'weekday_4', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1009.05950791  -30.5017163   178.85637892  916.63196588   54.25057546
  -90.56781717   -2.50499943  116.77655816 -439.91233616  240.26116922
 1247.32923646  912.8712976 ]",623.480721456994
